x,underY,distance
5,82,9.034954071044922
5,83,8.677179336547852
5,84,8.318828582763672
5,85,7.959863185882568
5,86,7.600234031677246
5,87,7.239899158477783
5,88,6.878819942474365
5,89,6.516942977905273
5,90,6.154233455657959
5,91,5.790640830993652
5,92,5.426126956939697
5,93,5.060644149780273
5,94,4.694147587
5,95,4.326599121
5,96,3.957949638366699
5,97,3.5881576538085938
5,98,3.2171783447265625
5,99,2.8449697494506836
5,100,2.4714841842651367
5,101,2.0966806411743164
5,102,1.7205172777175903
5,103,1.3429476022720337
5,104,0.9639283418655396
5,105,0.5834132432937622
5,106,0.2013627290725708
5,107,-0.160093188
5,108,-0.519175887
5,109,-0.878937602
5,110,-1.239397883
5,111,-1.600572467
5,112,-1.962481856
5,113,-2.325145245
5,114,-2.688576698
5,115,-3.052794456
5,116,-3.417819023
5,117,-3.783669472
5,118,-4.150357723
5,119,-4.517905712
5,120,-4.886329651
6,0,3049.489990234375
6,1,2839.282958984375
6,2,2624.60498
6,3,2412.055176
6,4,2199.640380859375
6,5,1984.844970703125
6,6,1775.970215
6,7,1567.988281
6,8,1359.569336
6,9,1193.3414306640625
6,10,1077.819091796875
6,11,919.2470092773438
6,12,737.8485717773438
6,13,518.6782227
6,14,292.6384277
6,15,104.1651382446289
6,16,96.80644226074219
6,17,94.25414276123047
6,18,91.72089385986328
6,19,89.36331939697266
6,20,87.10985565185547
6,21,84.96009063720703
6,22,82.86171722
6,23,80.74626922607422
6,24,78.75484466552734
6,25,76.67918395996094
6,26,74.51381683
6,27,72.64087677001953
6,28,70.48960114
6,29,66.96780395507812
6,30,62.19569396972656
6,31,58.40530776977539
6,32,56.04475784301758
6,33,52.97391891479492
6,34,49.537635803222656
6,35,45.98194885253906
6,36,43.317501068115234
6,37,41.324581146240234
6,38,39.75236892700195
6,39,38.37898635864258
6,40,37.40750503540039
6,41,36.53083801269531
6,42,35.54587173461914
6,43,34.58692169189453
6,44,33.552303314208984
6,45,32.408470153808594
6,46,31.266387939453125
6,47,30.151317596435547
6,48,29.043636322021484
6,49,27.9276123
6,50,26.81964111328125
6,51,25.75125503540039
6,52,24.70696258544922
6,53,23.70471191
6,54,22.80754852294922
6,55,22.001699447631836
6,56,21.245630264282227
6,57,20.607492446899414
6,58,20.00904083251953
6,59,19.412532806396484
6,60,18.828969955444336
6,61,18.26032829284668
6,62,17.693506240844727
6,63,17.154834747314453
6,64,16.645814895629883
6,65,16.13733673095703
6,66,15.62930965423584
6,67,15.121642112731934
6,68,14.614239692687988
6,69,14.112466812133789
6,70,13.631114959716797
6,71,13.174053192138672
6,72,12.727709770202637
6,73,12.306198120117188
6,74,11.91792106628418
6,75,11.52946949005127
6,76,11.140792846679688
6,77,10.764286041259766
6,78,10.408402442932129
6,79,10.052170753479004
6,80,9.695545196533203
6,81,9.338483810424805
6,82,8.98094368
6,83,8.622882843017578
6,84,8.264255524
6,85,7.905022144317627
6,86,7.545132637023926
6,87,7.184550762176514
6,88,6.823230266571045
6,89,6.461128234863281
6,90,6.098203659057617
6,91,5.734408855438232
6,92,5.3697052001953125
6,93,5.004046917
6,94,4.637390137
6,95,4.269695281982422
6,96,3.9009161
6,97,3.5310096740722656
6,98,3.159933567047119
6,99,2.7876439094543457
6,100,2.4140992164611816
6,101,2.039255142211914
6,102,1.6630679368972778
6,103,1.2854949235916138
6,104,0.9064933061599731
6,105,0.5326954126358032
6,106,0.17494690418243408
6,107,-0.183435321
6,108,-0.542476058
6,109,-0.902181506
6,110,-1.262578845
6,111,-1.623680949
6,112,-1.985508323
6,113,-2.348074913
6,114,-2.711399555
6,115,-3.075502872
6,116,-3.440397739
6,117,-3.806105137
6,118,-4.172644615
6,119,-4.540024757
6,120,-4.908272266
7,0,3004.120361328125
7,1,2794.893798828125
7,2,2581.035156
7,3,2369.276123046875
7,4,2157.641845703125
7,5,1943.6895751953125
7,6,1735.256103515625
7,7,1527.799805
7,8,1322.106445
7,9,1161.802978515625
7,10,1049.305419921875
7,11,880.5086059570312
7,12,702.3696289
7,13,474.7250061035156
7,14,249.81642150878906
7,15,98.72400665283203
7,16,96.23123931884766
7,17,93.67969512939453
7,18,91.18390655517578
7,19,88.82981872558594
7,20,86.56990814208984
7,21,84.42835235595703
7,22,82.33683013916016
7,23,80.22000885009766
7,24,78.22669219970703
7,25,76.11067962646484
